                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7503      2.9999999999999999E-001      1.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56                               57                               58                               59                               60                               61                               62                               63                               64                               65                               66                               67                               68                               69                               70                               71                               72                               73                               74                               75                               76                               77                               78                               79                               80                               81 
                       num_zones                     model_number                         star_age                        star_mass                        star_mdot                           log_dt                     he_core_mass                      c_core_mass                      o_core_mass                            log_L                   log_L_div_Ledd                           log_LH                          log_LHe                           log_LZ                         log_Teff                    log_abs_Lgrav                            log_R                            log_g                       log_surf_z                   surf_avg_omega                   surf_avg_v_rot         surf_num_c12_div_num_o16                  v_wind_Km_per_s              surf_avg_omega_crit    surf_avg_omega_div_omega_crit                  surf_avg_v_crit            surf_avg_v_div_v_crit           surf_avg_Lrad_div_Ledd                v_div_csound_surf                       surface_h1                      surface_he3                      surface_he4                      surface_li7                      surface_be9                      surface_b11                      surface_c12                      surface_c13                      surface_n14                      surface_o16                      surface_f19                     surface_ne20                     surface_na23                     surface_mg24                     surface_si28                      surface_s32                     surface_ca40                     surface_ti48                     surface_fe56                     log_center_T                   log_center_Rho                center_degeneracy                     center_omega                     center_gamma                   mass_conv_core                        center_h1                       center_he4                       center_c12                       center_n14                       center_o16                      center_ne20                      center_mg24                      center_si28                               pp                              cno                         tri_alfa                           burn_c                           burn_n                           burn_o                          c12_c12                         delta_nu                         delta_Pg                           nu_max                  acoustic_cutoff          max_conv_vel_div_csound              max_gradT_div_grada               gradT_excess_alpha                   min_Pgas_div_P               max_L_rad_div_Ledd                        e_thermal                      num_retries                      num_backups 
                             626                                1          1.0000000000000001E-005          2.9999999999999988E-001         -2.7110978009015869E-012         -4.9999999999999991E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0724755540719311E-001         -4.0787809214712354E+000         -5.2408619569000567E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5644985495127517E+000          1.0505077534235938E+000          6.9730383086020686E-001          2.5206598105586080E+000         -2.0000000000000040E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972725E-001          8.0503685352224037E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -8.1224192993692910E+000          7.2598547999999996E-001          4.3823999999999999E-005          2.6395617600000004E-001          6.9108222832344736E-009          1.1828478187231282E-010          0.0000000000000000E+000          1.7475768267870668E-003          2.1213374842096895E-005          5.1610305892955271E-004          4.2762239370500643E-003          3.7741985388818022E-007          8.6742869905424651E-004          2.1859594696394294E-005          4.1269719288203777E-004          4.5685715824005113E-004          2.1916721596758077E-004          4.7974877551782311E-005          2.3342303689394248E-006          1.1092467977003168E-003          5.7016504112617490E+000         -1.5729159893380138E+000         -4.8735927049240457E+000          0.0000000000000000E+000          1.4832509079963388E-001          7.6273972982351996E-008          7.2598548000000007E-001          2.6395617600000004E-001          1.7475768267870670E-003          5.1610305892955271E-004          4.2762239370500643E-003          8.6742869905424684E-004          4.1269719288203777E-004          4.5685715824005118E-004         -5.2408619569000567E+000         -6.4361775605929637E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4976460748264735E+000          1.4982675976563987E+005          4.7041070451661781E+001          3.8868771079209159E+002          2.5765556159089575E-001          1.9628385626407849E+000          0.0000000000000000E+000          9.9985366338316495E-001          2.4269671929310046E-004          6.0067385353312565E+046                                0                                0 
                             629                                2          2.2000000000000003E-005          2.9999999999999982E-001         -2.6883767008352917E-012         -4.9208187539523749E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0717915051787663E-001         -4.0792118377432027E+000         -5.2408608698361920E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5644816393139283E+000          1.7645599232348932E+000          6.9730344881319650E-001          2.5206605746526285E+000         -2.0000000000000040E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972714E-001          7.9815575520178014E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -1.4548518763395375E-003          7.2598547999999985E-001          4.3824000000000006E-005          2.6395617600000010E-001          6.9108222832344728E-009          1.1828478187231279E-010          0.0000000000000000E+000          1.7475768267870664E-003          2.1213374842096898E-005          5.1610305892955271E-004          4.2762239370500643E-003          3.7741985388818011E-007          8.6742869905424651E-004          2.1859594696394297E-005          4.1269719288203777E-004          4.5685715824005102E-004          2.1916721596758069E-004          4.7974877551782291E-005          2.3342303689394244E-006          1.1092467977003170E-003          5.7016502861547869E+000         -1.5729162236245813E+000         -4.8735911485550698E+000          0.0000000000000000E+000          1.4832510685550537E-001          3.7500384313850812E-007          7.2598547999999996E-001          2.6395617599999999E-001          1.7475768267870666E-003          5.1610305892955260E-004          4.2762239370500634E-003          8.6742869905424662E-004          4.1269719288203772E-004          4.5685715824005102E-004         -5.2408608698361920E+000         -6.4361776446912771E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4976826425161098E+000          9.2856020118286062E+004          4.7042069049039696E+001          3.8868465460945424E+002          2.5740504858193725E-001          1.9639434428983014E+000          0.0000000000000000E+000          9.9985369886627207E-001          2.4262408318403444E-004          6.0067397490428004E+046                                0                                0 
                             627                                3          3.6400000000000004E-005          2.9999999999999977E-001         -2.6879509285529380E-012         -4.8416375079047498E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0679638880675690E-001         -4.0799139276321208E+000         -5.2408654854547718E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5643865574300961E+000          1.3267887987966687E+000          6.9730223172529904E-001          2.5206630088284232E+000         -1.9999999999999996E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972714E-001          7.9726549093270620E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -3.8635819527468003E-003          7.2598548000000007E-001          4.3824000000000006E-005          2.6395617600000010E-001          6.9108222832344736E-009          1.1828478187231282E-010          0.0000000000000000E+000          1.7475768267870664E-003          2.1213374842096898E-005          5.1610305892955271E-004          4.2762239370500643E-003          3.7741985388818006E-007          8.6742869905424651E-004          2.1859594696394297E-005          4.1269719288203772E-004          4.5685715824005091E-004          2.1916721596758069E-004          4.7974877551782291E-005          2.3342303689394244E-006          1.1092467977003168E-003          5.7016504580215450E+000         -1.5729159616993913E+000         -4.8735927049240457E+000          0.0000000000000000E+000          1.4832507797619085E-001          0.0000000000000000E+000          7.2598548000000007E-001          2.6395617600000004E-001          1.7475768267870668E-003          5.1610305892955271E-004          4.2762239370500643E-003          8.6742869905424673E-004          4.1269719288203783E-004          4.5685715824005107E-004         -5.2408654854547718E+000         -6.4361806070631772E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4978108038706779E+000          3.9425908109138967E+004          4.7047482583644609E+001          3.8866807844093756E+002          2.5738153843981587E-001          1.9644114661864425E+000          0.0000000000000000E+000          9.9985374841269292E-001          2.4255870669209463E-004          6.0067381000369660E+046                                0                                0 
                             626                                4          5.3680000000000001E-005          2.9999999999999966E-001         -2.6855754435371237E-012         -4.7624562618571247E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0666658111736593E-001         -4.0804088978414841E+000         -5.2408659405908944E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5643543709652472E+000          1.5864195255126075E+000          6.9730170081030241E-001          2.5206640706584165E+000         -1.9999999999999996E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972714E-001          7.9630326037483329E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -1.4046256805831101E-003          7.2598547999999996E-001          4.3823999999999992E-005          2.6395617600000004E-001          6.9108222832344695E-009          1.1828478187231282E-010          0.0000000000000000E+000          1.7475768267870659E-003          2.1213374842096895E-005          5.1610305892955260E-004          4.2762239370500634E-003          3.7741985388817990E-007          8.6742869905424608E-004          2.1859594696394287E-005          4.1269719288203750E-004          4.5685715824005080E-004          2.1916721596758061E-004          4.7974877551782270E-005          2.3342303689394244E-006          1.1092467977003165E-003          5.7016505076792772E+000         -1.5729158980242874E+000         -4.8735927049240457E+000          0.0000000000000000E+000          1.4832506826554107E-001          0.0000000000000000E+000          7.2598547999999996E-001          2.6395617599999999E-001          1.7475768267870661E-003          5.1610305892955260E-004          4.2762239370500634E-003          8.6742869905424651E-004          4.1269719288203766E-004          4.5685715824005097E-004         -5.2408659405908944E+000         -6.4361814993108823E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4978720996307109E+000          1.4983858917733183E+004          4.7049341042535595E+001          3.8866238242808208E+002          2.5742298423927074E-001          1.9644781914257174E+000          0.0000000000000000E+000          9.9985380156594805E-001          2.4247270031339335E-004          6.0067379432427084E+046                                0                                0 
                             627                                5          7.4416000000000000E-005          2.9999999999999960E-001         -2.6847695810411672E-012         -4.6832750158095005E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0645024468489039E-001         -4.0809596027652191E+000         -5.2408645560762013E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5643006940220920E+000          1.2920971966964909E+000          6.9730088648037525E-001          2.5206656993182710E+000         -2.0000000000000089E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972703E-001          7.9563676439078010E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -1.7957141090095253E-003          7.2598547999999996E-001          4.3824000000000006E-005          2.6395617600000004E-001          6.9108222832344695E-009          1.1828478187231282E-010          0.0000000000000000E+000          1.7475768267870659E-003          2.1213374842096901E-005          5.1610305892955271E-004          4.2762239370500643E-003          3.7741985388817990E-007          8.6742869905424619E-004          2.1859594696394294E-005          4.1269719288203750E-004          4.5685715824005080E-004          2.1916721596758066E-004          4.7974877551782270E-005          2.3342303689394244E-006          1.1092467977003168E-003          5.7016507350996655E+000         -1.5729153403181186E+000         -4.8735903218761667E+000          0.0000000000000000E+000          1.4832505408574015E-001          0.0000000000000000E+000          7.2598548000000007E-001          2.6395617600000004E-001          1.7475768267870666E-003          5.1610305892955271E-004          4.2762239370500643E-003          8.6742869905424651E-004          4.1269719288203772E-004          4.5685715824005097E-004         -5.2408645560762013E+000         -6.4361828855774988E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4979634800162556E+000          9.4288940008724705E+004          4.7052425133465100E+001          3.8865304487670426E+002          2.5742033803991970E-001          1.9643644801986968E+000          0.0000000000000000E+000          9.9985386813716948E-001          2.4235717406308644E-004          6.0067397369183694E+046                                0                                0 
                             627                                6          9.9299199999999986E-005          2.9999999999999954E-001         -2.6834275100325043E-012         -4.6040937697618753E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0607197989839556E-001         -4.0817529643651218E+000         -5.2408674942376887E+000         -9.8999999999999986E+001         -2.1072099696478681E+001          3.5642067856851654E+000          8.1705658585290430E-001          6.9729957076098126E-001          2.5206683307570588E+000         -1.9999999999999996E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972691E-001          7.9449417186619510E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -2.4186002706486579E-003          7.2598547999999996E-001          4.3824000000000006E-005          2.6395617600000004E-001          6.9108222832344695E-009          1.1828478187231279E-010          0.0000000000000000E+000          1.7475768267870655E-003          2.1213374842096898E-005          5.1610305892955271E-004          4.2762239370500634E-003          3.7741985388817979E-007          8.6742869905424608E-004          2.1859594696394291E-005          4.1269719288203750E-004          4.5685715824005075E-004          2.1916721596758058E-004          4.7974877551782257E-005          2.3342303689394244E-006          1.1092467977003168E-003          5.7016506355154446E+000         -1.5729154569840904E+000         -4.8735903218761667E+000          0.0000000000000000E+000          1.4832507481516183E-001          0.0000000000000000E+000          7.2598547999999996E-001          2.6395617599999999E-001          1.7475768267870661E-003          5.1610305892955260E-004          4.2762239370500634E-003          8.6742869905424640E-004          4.1269719288203755E-004          4.5685715824005086E-004         -5.2408674942376887E+000         -6.4361849642851269E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4981071935011112E+000          0.0000000000000000E+000          4.7057797654571011E+001          3.8863752747591946E+002          2.5740750103893012E-001          1.9642016539584533E+000          0.0000000000000000E+000          9.9985395014007672E-001          2.4220833611227389E-004          6.0067398243262766E+046                                0                                0 
                             626                                7          1.2915903999999998E-004          2.9999999999999949E-001         -2.6810831749846389E-012         -4.5249125237142502E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0589907126514198E-001         -4.0823517081375851E+000         -5.2408686248970371E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5641638891025873E+000          6.6017421541969268E-001          6.9729890960951002E-001          2.5206696530600010E+000         -2.0000000000000040E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972691E-001          7.9346144687865427E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -1.0129429618769312E-003          7.2598548000000007E-001          4.3824000000000006E-005          2.6395617600000004E-001          6.9108222832344678E-009          1.1828478187231279E-010          0.0000000000000000E+000          1.7475768267870655E-003          2.1213374842096898E-005          5.1610305892955260E-004          4.2762239370500634E-003          3.7741985388817974E-007          8.6742869905424597E-004          2.1859594696394291E-005          4.1269719288203739E-004          4.5685715824005064E-004          2.1916721596758050E-004          4.7974877551782250E-005          2.3342303689394244E-006          1.1092467977003165E-003          5.7016506824280064E+000         -1.5729153854891964E+000         -4.8735903218761667E+000          0.0000000000000000E+000          1.4832506693230610E-001          0.0000000000000000E+000          7.2598548000000007E-001          2.6395617600000004E-001          1.7475768267870664E-003          5.1610305892955271E-004          4.2762239370500643E-003          8.6742869905424662E-004          4.1269719288203766E-004          4.5685715824005097E-004         -5.2408686248970371E+000         -6.4361866033622306E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4981975877610045E+000          3.6344251354977408E+004          4.7060265017505344E+001          3.8862963698433362E+002          2.5739714491887211E-001          1.9637804514003796E+000          0.0000000000000000E+000          9.9985404337432526E-001          2.4202866115092766E-004          6.0067401135095099E+046                                0                                0 
                             626                                8          1.6499084799999998E-004          2.9999999999999932E-001         -2.6800118695235444E-012         -4.4457312776666260E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0553534091617045E-001         -4.0832108157816576E+000         -5.2408717432558003E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5640735731667532E+000          1.7298851775638890E+000          6.9729767630669315E-001          2.5206721196656345E+000         -2.0000000000000040E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972680E-001          7.9243353205318231E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -1.5751117205684462E-003          7.2598547999999996E-001          4.3824000000000006E-005          2.6395617600000010E-001          6.9108222832344687E-009          1.1828478187231282E-010          0.0000000000000000E+000          1.7475768267870655E-003          2.1213374842096901E-005          5.1610305892955271E-004          4.2762239370500643E-003          3.7741985388817979E-007          8.6742869905424586E-004          2.1859594696394294E-005          4.1269719288203739E-004          4.5685715824005064E-004          2.1916721596758058E-004          4.7974877551782257E-005          2.3342303689394248E-006          1.1092467977003168E-003          5.7016507396102121E+000         -1.5729159498618697E+000         -4.8735927049240466E+000          0.0000000000000000E+000          1.4832498315255777E-001          0.0000000000000000E+000          7.2598547999999996E-001          2.6395617599999999E-001          1.7475768267870659E-003          5.1610305892955260E-004          4.2762239370500634E-003          8.6742869905424630E-004          4.1269719288203750E-004          4.5685715824005091E-004         -5.2408717432558003E+000         -6.4361895529328109E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4983484927840154E+000          4.0155602646441577E+004          4.7065425911867308E+001          3.8861447637371106E+002          2.5734715677143721E-001          1.9633042660408306E+000          0.0000000000000000E+000          9.9985415500232377E-001          2.4180955655330266E-004          6.0067399658053942E+046                                0                                0 
                             626                                9          2.0798901759999997E-004          2.9999999999999916E-001         -2.6777606411665642E-012         -4.3665500316190009E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.0521948120591240E-001         -4.0840832702850838E+000         -5.2408769483148454E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          3.5639951491011184E+000          1.1392805714149945E+000          6.9729659458283255E-001          2.5206742831133555E+000         -2.0000000000000040E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4489719668972691E-001          7.9115786543505654E-006          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000         -1.1515873960081032E-003          7.2598547999999996E-001          4.3823999999999992E-005          2.6395617600000004E-001          6.9108222832344670E-009          1.1828478187231279E-010          0.0000000000000000E+000          1.7475768267870648E-003          2.1213374842096898E-005          5.1610305892955260E-004          4.2762239370500625E-003          3.7741985388817963E-007          8.6742869905424554E-004          2.1859594696394294E-005          4.1269719288203723E-004          4.5685715824005048E-004          2.1916721596758047E-004          4.7974877551782237E-005          2.3342303689394240E-006          1.1092467977003165E-003          5.7016512949133347E+000         -1.5729140834145401E+000         -4.8735897696384489E+000          0.0000000000000000E+000          1.4832500598252960E-001          0.0000000000000000E+000          7.2598548000000007E-001          2.6395617600000004E-001          1.7475768267870661E-003          5.1610305892955271E-004          4.2762239370500643E-003          8.6742869905424651E-004          4.1269719288203761E-004          4.5685715824005086E-004         -5.2408769483148454E+000         -6.4361940710664214E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          6.4984941880557550E+000          0.0000000000000000E+000          4.7069910075172920E+001          3.8860124090849962E+002          2.5729978650575325E-001          1.9626477428013449E+000          0.0000000000000000E+000          9.9985428240708030E-001          2.4155060095737676E-004          6.0067396246700354E+046                                0                                0 
