                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7503      1.0000000000000000E+002      1.0000000000000000E-004      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56                               57                               58                               59                               60                               61                               62                               63                               64                               65                               66                               67                               68                               69                               70                               71                               72                               73                               74                               75                               76                               77                               78                               79                               80                               81 
                       num_zones                     model_number                         star_age                        star_mass                        star_mdot                           log_dt                     he_core_mass                      c_core_mass                      o_core_mass                            log_L                   log_L_div_Ledd                           log_LH                          log_LHe                           log_LZ                         log_Teff                    log_abs_Lgrav                            log_R                            log_g                       log_surf_z                   surf_avg_omega                   surf_avg_v_rot         surf_num_c12_div_num_o16                  v_wind_Km_per_s              surf_avg_omega_crit    surf_avg_omega_div_omega_crit                  surf_avg_v_crit            surf_avg_v_div_v_crit           surf_avg_Lrad_div_Ledd                v_div_csound_surf                       surface_h1                      surface_he3                      surface_he4                      surface_li7                      surface_be9                      surface_b11                      surface_c12                      surface_c13                      surface_n14                      surface_o16                      surface_f19                     surface_ne20                     surface_na23                     surface_mg24                     surface_si28                      surface_s32                     surface_ca40                     surface_ti48                     surface_fe56                     log_center_T                   log_center_Rho                center_degeneracy                     center_omega                     center_gamma                   mass_conv_core                        center_h1                       center_he4                       center_c12                       center_n14                       center_o16                      center_ne20                      center_mg24                      center_si28                               pp                              cno                         tri_alfa                           burn_c                           burn_n                           burn_o                          c12_c12                         delta_nu                         delta_Pg                           nu_max                  acoustic_cutoff          max_conv_vel_div_csound              max_gradT_div_grada               gradT_excess_alpha                   min_Pgas_div_P               max_L_rad_div_Ledd                        e_thermal                      num_retries                      num_backups 
                            1501                                1          1.0000000000000001E-005          9.9999999999985207E+001         -1.4792248617506830E-006         -4.9999999999999991E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1968454574595384E+000         -4.4243962264862699E-002          8.5247390670336323E+000         -6.8699681492521009E+001         -7.2247198959355483E+000          4.3006631116867871E+000          8.5227865019950180E+000          2.0197736575383081E+000          2.3985989024826790E+000         -4.0000000000000471E+000          1.3357476913699256E-006          9.5309108716703236E+001          5.4489719668972747E-001          9.8766445539041925E+000          3.3393692284248128E-006          4.0004836323316190E-001          2.3825359074391639E+002          4.0004836323316195E-001          6.9483748984907323E-001         -8.6484216061409455E+001          7.5073498500000024E-001          4.1358900000000015E-005          2.4910864110000003E-001          6.9108222832337091E-011          1.1828478187229976E-012          0.0000000000000000E+000          1.7475768267868734E-005          2.1213374842094549E-007          5.1610305892949548E-006          4.2762239370495899E-005          3.7741985388813831E-009          8.6742869905415070E-006          2.1859594696391870E-007          4.1269719288199222E-006          4.5685715824000065E-006          2.1916721596755643E-006          4.7974877551776990E-007          2.3342303689391657E-008          1.1092467977001958E-005          6.8647452137960423E+000         -2.0183165262901133E+000         -9.8607100607766878E+000          0.0000000000000000E+000          7.1385330964241021E-003          0.0000000000000000E+000          7.5073498070182598E-001          2.4910864110000000E-001          1.7475768267868727E-005          5.1610305892949522E-006          4.2762239370495893E-005          8.6742869905415036E-006          4.1269719288199197E-006          4.5685715824000031E-006          8.5247390670336323E+000         -1.1362100981934534E+001         -6.8699681492521009E+001         -5.0064401372802990E+001         -5.8794019946669849E+001         -6.7759552983651147E+001         -9.8999999999999986E+001          1.1838595646624832E+000          0.0000000000000000E+000          1.5217174004264372E+001          5.6621106576507444E+001          1.0987252882274944E-002          1.0474450852883839E+000          9.2747534980456470E-001          2.9950577575492937E-001          7.1053533250933831E-001          3.0701332384717078E+051                                0                                0 
                            2226                                2          2.2000000000000003E-005          9.9999999999960508E+001         -2.0577927519305534E-006         -4.9208187539523749E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1861385072032347E+000         -4.9904061447005092E-002          8.5043426883694337E+000         -6.8854660418117859E+001         -9.8999999999999986E+001          4.2949246107720294E+000          8.5023413768150551E+000          2.0258971842396720E+000          2.3863518490798441E+000         -4.0000000000000471E+000          1.3351198821348509E-006          9.6584597140825622E+001          5.4489719668972736E-001          1.3659345656376312E+001          3.3377997053371248E-006          4.0005033680396423E-001          2.4144126235481249E+002          4.0005033680396423E-001          6.8227442416933315E-001          8.9677918971927824E+001          7.5073498500000058E-001          4.1358900000000008E-005          2.4910864110000003E-001          6.9108222832337116E-011          1.1828478187229978E-012          0.0000000000000000E+000          1.7475768267868730E-005          2.1213374842094551E-007          5.1610305892949522E-006          4.2762239370495893E-005          3.7741985388813831E-009          8.6742869905415087E-006          2.1859594696391857E-007          4.1269719288199189E-006          4.5685715824000073E-006          2.1916721596755651E-006          4.7974877551776979E-007          2.3342303689391667E-008          1.1092467977001958E-005          6.8624752864936935E+000         -2.0242747111704689E+000         -9.8666162388049994E+000          1.3235864383445629E-006          7.1432006166464368E-003          0.0000000000000000E+000          7.5073497576976655E-001          2.4910864110000000E-001          1.7475768267868727E-005          5.1610305892949522E-006          4.2762239370495893E-005          8.6742869905415036E-006          4.1269719288199197E-006          4.5685715824000031E-006          8.5043426883694337E+000         -1.1365402986045531E+001         -6.8854660418117859E+001         -5.0192129474305617E+001         -5.8939838571299184E+001         -6.7919930613929594E+001         -9.8999999999999986E+001          1.1503051859490401E+000          0.0000000000000000E+000          1.4892108912368192E+001          5.5700420251831225E+001          1.1469575647806439E-001          1.0482964911245469E+000          9.2732910317151918E-001          3.0089748172339142E-001          6.8547439840789093E-001          3.0434676334593406E+051                                0                                0 
                            4027                                3          3.6400000000000004E-005          9.9999999999932854E+001         -1.9213199464303849E-006         -4.8416375079047498E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1759772607375387E+000         -5.8580515737158050E-002          8.5039297061307497E+000         -6.8856992972883702E+001         -9.8999999999999986E+001          4.2923340460235728E+000          8.5105501365054597E+000          2.0259976905037358E+000          2.3861508365515958E+000         -3.9999999999995652E+000          1.3493243773948831E-006          9.7644742198547860E+001          5.4489719668972714E-001          1.2843344557192452E+001          3.3733109434872044E-006          4.0004991262625023E-001          2.4409157506835570E+002          4.0004991262625023E-001          6.7515228999416577E-001          1.2364952934655313E+000          7.5073498499999980E-001          4.1358899999999988E-005          2.4910864109999981E-001          6.9108222832337039E-011          1.1828478187229952E-012          0.0000000000000000E+000          1.7475768267868710E-005          2.1213374842094522E-007          5.1610305892949514E-006          4.2762239370495866E-005          3.7741985388813815E-009          8.6742869905414969E-006          2.1859594696391854E-007          4.1269719288199155E-006          4.5685715824000005E-006          2.1916721596755613E-006          4.7974877551776948E-007          2.3342303689391667E-008          1.1092467977001949E-005          6.8624241424307275E+000         -2.0244157336955770E+000         -9.8667646492742147E+000          1.3348308917963576E-006          7.1432687408152394E-003          0.0000000000000000E+000          7.5073496986192700E-001          2.4910864110000003E-001          1.7475768267868727E-005          5.1610305892949522E-006          4.2762239370495893E-005          8.6742869905415036E-006          4.1269719288199197E-006          4.5685715824000031E-006          8.5039297061307497E+000         -1.1332558920775432E+001         -6.8856992972883702E+001         -5.0193987915685490E+001         -5.8942015536719772E+001         -6.7922375931409903E+001         -9.8999999999999986E+001          1.1494306581061129E+000          0.0000000000000000E+000          1.4929679118173475E+001          5.6126591808257096E+001          1.3583068700717787E-001          1.0506968768148941E+000          9.2079358880720175E-001          3.0136518054908090E-001          6.8466361844462997E-001          3.0430878909462942E+051                                0                                0 
                            4106                                4          5.3680000000000001E-005          9.9999999999901519E+001         -1.8128893616429809E-006         -4.7624562618571247E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1682457714090884E+000         -6.5940860922513028E-002          8.5033465964034161E+000         -6.8859967000954612E+001         -9.8999999999999986E+001          4.2903405421960139E+000          8.5050799275103319E+000          2.0261189534946298E+000          2.3859083105696719E+000         -4.0000000000000471E+000          1.3565321402632648E-006          9.8197875214148624E+001          5.4489719668972791E-001          1.2183499832119024E+001          3.3913303506581609E-006          4.0004981857893618E-001          2.4547433101266182E+002          4.0004981857893623E-001          6.7135582391892190E-001          1.2510536368763809E+000          7.5073498499999936E-001          4.1358900000000001E-005          2.4910864109999989E-001          6.9108222832336987E-011          1.1828478187229950E-012          0.0000000000000000E+000          1.7475768267868717E-005          2.1213374842094512E-007          5.1610305892949446E-006          4.2762239370495825E-005          3.7741985388813831E-009          8.6742869905414986E-006          2.1859594696391851E-007          4.1269719288199129E-006          4.5685715823999946E-006          2.1916721596755634E-006          4.7974877551776948E-007          2.3342303689391651E-008          1.1092467977001943E-005          6.8623391292495919E+000         -2.0246422304582299E+000         -9.8669890415095427E+000          1.3488553178099570E-006          7.1434253364743659E-003          0.0000000000000000E+000          7.5073496279096030E-001          2.4910864110000000E-001          1.7475768267868727E-005          5.1610305892949522E-006          4.2762239370495893E-005          8.6742869905415036E-006          4.1269719288199197E-006          4.5685715824000031E-006          8.5033465964034161E+000         -1.1310481966759706E+001         -6.8859967000954612E+001         -5.0196455575242005E+001         -5.8944826487314330E+001         -6.7925465741734612E+001         -9.8999999999999986E+001          1.1486110530719156E+000          0.0000000000000000E+000          1.4955629562010763E+001          5.6439548248583513E+001          1.3034202783839594E-001          1.0530801659391731E+000          9.1428177108002517E-001          3.0147183637699326E-001          6.8312569245145227E-001          3.0425246153088603E+051                                0                                0 
                            4097                                5          7.4416000000000000E-005          9.9999999999865565E+001         -1.7344094481513032E-006         -4.6832750158095005E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1627725581064121E+000         -7.1734052501453788E-002          8.5029366393591541E+000         -6.8861495298870295E+001         -6.9236899002715671E+000          4.2889248417890133E+000          8.5025286441068992E+000          2.0262137476572928E+000          2.3857187222441896E+000         -3.9999999999995652E+000          1.3595740460182289E-006          9.8438476656588989E+001          5.4489719668972691E-001          1.1700611074625851E+001          3.3989351150455710E-006          4.0005001106514348E-001          2.4607570583426445E+002          4.0005001106514348E-001          6.6967518845979712E-001          8.1872933909497614E-001          7.5073498499999891E-001          4.1358899999999907E-005          2.4910864109999953E-001          6.9108222832337078E-011          1.1828478187229946E-012          0.0000000000000000E+000          1.7475768267868707E-005          2.1213374842094530E-007          5.1610305892949522E-006          4.2762239370495872E-005          3.7741985388813765E-009          8.6742869905415003E-006          2.1859594696391851E-007          4.1269719288199121E-006          4.5685715823999971E-006          2.1916721596755626E-006          4.7974877551776905E-007          2.3342303689391624E-008          1.1092467977001948E-005          6.8623168555497287E+000         -2.0247014589110912E+000         -9.8670500954019111E+000          1.3564088072336851E-006          7.1434670894774564E-003          0.0000000000000000E+000          7.5073495431908732E-001          2.4910864110000003E-001          1.7475768267868727E-005          5.1610305892949522E-006          4.2762239370495893E-005          8.6742869905415036E-006          4.1269719288199197E-006          4.5685715824000031E-006          8.5029366393591541E+000         -1.1295125393494864E+001         -6.8861495298870295E+001         -5.0197719637791892E+001         -5.8946265063370717E+001         -6.7927044722886762E+001         -9.8999999999999986E+001          1.1480053786033990E+000          0.0000000000000000E+000          1.4973487397152903E+001          5.6658555044124633E+001          1.0779967126252517E-001          1.0553311545983968E+000          9.0800689412352453E-001          3.0115199588472497E-001          6.8355413642731011E-001          3.0422394193852016E+051                                0                                0 
                            4175                                6          9.9299199999999986E-005          9.9999999999823743E+001         -1.6808969523095611E-006         -4.6040937697618753E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1597558820785352E+000         -7.5607096812589342E-002          8.5026159161174117E+000         -6.8862133217356714E+001         -9.8999999999999986E+001          4.2881273515001004E+000          8.5007993652597342E+000          2.0263003902211816E+000          2.3855454371162303E+000         -3.9999999999995652E+000          1.3598614619695427E-006          9.8473306431947748E+001          5.4489719668972714E-001          1.1362809672603058E+001          3.3996536549238513E-006          4.0005044521694089E-001          2.4616259513560630E+002          4.0005044521694083E-001          6.6939492291181379E-001          6.2525067830240244E-001          7.5073498499999958E-001          4.1358899999999968E-005          2.4910864109999994E-001          6.9108222832337013E-011          1.1828478187229960E-012          0.0000000000000000E+000          1.7475768267868717E-005          2.1213374842094514E-007          5.1610305892949505E-006          4.2762239370495879E-005          3.7741985388813782E-009          8.6742869905415019E-006          2.1859594696391870E-007          4.1269719288199163E-006          4.5685715824000014E-006          2.1916721596755639E-006          4.7974877551776916E-007          2.3342303689391648E-008          1.1092467977001943E-005          6.8623129984508591E+000         -2.0247136327641280E+000         -9.8670626554842915E+000          1.3595486606001423E-006          7.1434639344295590E-003          0.0000000000000000E+000          7.5073494416745146E-001          2.4910864110000000E-001          1.7475768267868727E-005          5.1610305892949522E-006          4.2762239370495893E-005          8.6742869905415036E-006          4.1269719288199197E-006          4.5685715824000031E-006          8.5026159161174117E+000         -1.1286660198341821E+001         -6.8862133217356714E+001         -5.0198242448014867E+001         -5.8946862042045161E+001         -6.7927699609555773E+001         -9.8999999999999986E+001          1.1475147323397805E+000          0.0000000000000000E+000          1.4981262764553801E+001          5.6770901793334701E+001          1.1426357919695296E-001          1.0572314989253320E+000          9.0276503413896358E-001          3.0044300659725037E-001          6.8376907418095578E-001          3.0421281118300023E+051                                0                                0 
                            4152                                7          1.2915903999999998E-004          9.9999999999774403E+001         -1.6520418936147622E-006         -4.5249125237142502E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1587818897910278E+000         -7.8118508568134098E-002          8.5023310433918375E+000         -6.8862052936974663E+001         -9.8999999999999986E+001          4.2878427779043120E+000          8.5003601446683170E+000          2.0263825412690033E+000          2.3853811350203724E+000         -3.9999999999995652E+000          1.3583794115988743E-006          9.8375813634398568E+001          5.4489719668972747E-001          1.1173894803172564E+001          3.3959485289971812E-006          4.0005104420570708E-001          2.4591863847101041E+002          4.0005104420570708E-001          6.7001707908047359E-001          4.9459071236374269E-001          7.5073498499999980E-001          4.1358899999999981E-005          2.4910864110000017E-001          6.9108222832337039E-011          1.1828478187229964E-012          0.0000000000000000E+000          1.7475768267868724E-005          2.1213374842094525E-007          5.1610305892949514E-006          4.2762239370495872E-005          3.7741985388813831E-009          8.6742869905415087E-006          2.1859594696391870E-007          4.1269719288199205E-006          4.5685715824000005E-006          2.1916721596755651E-006          4.7974877551776937E-007          2.3342303689391651E-008          1.1092467977001948E-005          6.8623096424129804E+000         -2.0247260546111319E+000         -9.8670797672124113E+000          1.3598355335823512E-006          7.1434512074487339E-003          0.0000000000000000E+000          7.5073493200622299E-001          2.4910864110000000E-001          1.7475768267868727E-005          5.1610305892949522E-006          4.2762239370495893E-005          8.6742869905415036E-006          4.1269719288199197E-006          4.5685715824000031E-006          8.5023310433918375E+000         -1.1281769023392775E+001         -6.8862052936974663E+001         -5.0198168282452336E+001         -5.8946783149732362E+001         -6.7927619023194097E+001         -9.8999999999999986E+001          1.1471048276222262E+000          0.0000000000000000E+000          1.4980503352178188E+001          5.6794582892086893E+001          1.1373023213749933E-001          1.0586903951967557E+000          8.9879933697729486E-001          2.9942765613083389E-001          6.8533292771054177E-001          3.0421289489431584E+051                                0                                0 
                            4142                                8          1.6499084799999998E-004          9.9999999999715541E+001         -1.6427225771318026E-006         -4.4457312776666260E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1595289004753653E+000         -7.9156712831361650E-002          8.5020396403639982E+000         -6.8861588587704517E+001         -9.8999999999999986E+001          4.2879939481792215E+000          8.5000617975196118E+000          2.0264537060613517E+000          2.3852388054354203E+000         -3.9999999999995652E+000          1.3559811216294126E-006          9.8208331631961144E+001          5.4489719668972736E-001          1.1103056394555425E+001          3.3899528040735229E-006          4.0005167792586127E-001          2.4549971017026635E+002          4.0005167792586127E-001          6.7111978121402016E-001          3.5707646507056212E-001          7.5073498500000069E-001          4.1358900000000042E-005          2.4910864110000019E-001          6.9108222832337142E-011          1.1828478187229982E-012          0.0000000000000000E+000          1.7475768267868747E-005          2.1213374842094567E-007          5.1610305892949565E-006          4.2762239370495940E-005          3.7741985388813865E-009          8.6742869905415138E-006          2.1859594696391907E-007          4.1269719288199231E-006          4.5685715824000098E-006          2.1916721596755668E-006          4.7974877551777032E-007          2.3342303689391671E-008          1.1092467977001961E-005          6.8623182441567927E+000         -2.0247093717175373E+000         -9.8670728978907256E+000          1.3584141988249985E-006          7.1434014049704658E-003          0.0000000000000000E+000          7.5073491743902721E-001          2.4910864110000000E-001          1.7475768267868730E-005          5.1610305892949531E-006          4.2762239370495899E-005          8.6742869905415053E-006          4.1269719288199205E-006          4.5685715824000039E-006          8.5020396403639982E+000         -1.1279113433007511E+001         -6.8861588587704517E+001         -5.0197783985577523E+001         -5.8946343174612693E+001         -6.7927133532444898E+001         -9.8999999999999986E+001          1.1467935434021606E+000          0.0000000000000000E+000          1.4972988512593659E+001          5.6745209867480959E+001          1.1816819541203417E-001          1.0595982912318975E+000          8.9655833066569346E-001          2.9830310443729935E-001          6.8673217676934750E-001          3.0422024285415674E+051                                0                                0 
                            4067                                9          2.0798901759999997E-004          9.9999999999644615E+001         -1.6495940029320254E-006         -4.3665500316190009E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1612875152139024E+000         -7.8499048290409559E-002          8.5017035685352322E+000         -6.8860918138146147E+001         -9.8999999999999986E+001          4.2884072137998723E+000          8.4997157377223047E+000          2.0265064821893199E+000          2.3851332531791760E+000         -3.9999999999995652E+000          1.3533540236059475E-006          9.8021054851418256E+001          5.4489719668972747E-001          1.1133760680225627E+001          3.3833850590148677E-006          4.0005223066316026E-001          2.4503133314947621E+002          4.0005223066316020E-001          6.7236363846295544E-001          2.2062745191985911E-001          7.5073498500000047E-001          4.1358900000000015E-005          2.4910864110000000E-001          6.9108222832337129E-011          1.1828478187229978E-012          0.0000000000000000E+000          1.7475768267868744E-005          2.1213374842094546E-007          5.1610305892949556E-006          4.2762239370495920E-005          3.7741985388813881E-009          8.6742869905415104E-006          2.1859594696391867E-007          4.1269719288199222E-006          4.5685715824000081E-006          2.1916721596755660E-006          4.7974877551776979E-007          2.3342303689391667E-008          1.1092467977001961E-005          6.8623280531219493E+000         -2.0246905952109775E+000         -9.8670633462278232E+000          1.3560202435020092E-006          7.1433432670674236E-003          0.0000000000000000E+000          7.5073489999632625E-001          2.4910864110000003E-001          1.7475768267868730E-005          5.1610305892949531E-006          4.2762239370495899E-005          8.6742869905415053E-006          4.1269719288199205E-006          4.5685715824000039E-006          8.5017035685352322E+000         -1.1277712980406346E+001         -6.8860918138146147E+001         -5.0197226447633945E+001         -5.8945706755099444E+001         -6.7926433766779382E+001         -9.8999999999999986E+001          1.1465969055086231E+000          0.0000000000000000E+000          1.4962229306623223E+001          5.6655742562549051E+001          1.2200022122614093E-001          1.0599522257833280E+000          8.9594582645294030E-001          2.9728499783308104E-001          6.8789860586408469E-001          3.0423120413226394E+051                                0                                0 
